Outcome category,Outcome detail,Cost / saving detail,Unit,Agency bearing the cost / making the fiscal saving 1,Agency bearing the cost / making the fiscal saving 2,Fiscal value,Economic value,Social value,Original source
CRIME,VIOLENCE,Commercial - Robbery - fiscal cost to the police,Per incident,Police,,1218.802493,,,"Figures derived from 'The Economic and Social Costs of Crime, Second Edition'. This estimates the total cost (fiscal, economic and social) of crime. These costs have been disaggregated to identify the breakdown into fiscal, economic and social elements of the cost of crime and the breakdown of the fiscal costs to each agency using the split of expenditure from the same report. Further agency breakdowns are available in Table 23 of the original report (pg.58). Analysis carried out by the GMCA Research Team and assured by the Home Office."
CRIME,VIOLENCE,Commercial - Robbery - fiscal cost to the probation system,Per incident,Probation,,205.1449741,,,"Figures derived from 'The Economic and Social Costs of Crime, Second Edition'. This estimates the total cost (fiscal, economic and social) of crime. These costs have been disaggregated to identify the breakdown into fiscal, economic and social elements of the cost of crime and the breakdown of the fiscal costs to each agency using the split of expenditure from the same report. Further agency breakdowns are available in Table 23 of the original report (pg.58). Analysis carried out by the GMCA Research Team and assured by the Home Office."
CRIME,VIOLENCE,Commercial - Robbery - fiscal cost to the courts/legal aid system,Per incident,Court,Legal aid,2835.827584,,,"Figures derived from 'The Economic and Social Costs of Crime, Second Edition'. This estimates the total cost (fiscal, economic and social) of crime. These costs have been disaggregated to identify the breakdown into fiscal, economic and social elements of the cost of crime and the breakdown of the fiscal costs to each agency using the split of expenditure from the same report. Further agency breakdowns are available in Table 23 of the original report (pg.58). Analysis carried out by the GMCA Research Team and assured by the Home Office."
CRIME,VIOLENCE,Commercial - Robbery - fiscal cost to the prison system,Per incident,Prison / Young Offenders Institute,,1146.398385,,,"Figures derived from 'The Economic and Social Costs of Crime, Second Edition'. This estimates the total cost (fiscal, economic and social) of crime. These costs have been disaggregated to identify the breakdown into fiscal, economic and social elements of the cost of crime and the breakdown of the fiscal costs to each agency using the split of expenditure from the same report. Further agency breakdowns are available in Table 23 of the original report (pg.58). Analysis carried out by the GMCA Research Team and assured by the Home Office."
CRIME,VIOLENCE,Commercial - Robbery - fiscal cost to other areas of the criminal justice system,Per incident,Multiple,,253.4143798,,,"Figures derived from 'The Economic and Social Costs of Crime, Second Edition'. This estimates the total cost (fiscal, economic and social) of crime. These costs have been disaggregated to identify the breakdown into fiscal, economic and social elements of the cost of crime and the breakdown of the fiscal costs to each agency using the split of expenditure from the same report. Further agency breakdowns are available in Table 23 of the original report (pg.58). Analysis carried out by the GMCA Research Team and assured by the Home Office."
CRIME,VIOLENCE,Commercial - Robbery - fiscal cost to the NHS,Per incident,NHS,,724.0410852,,,"Figures derived from 'The Economic and Social Costs of Crime, Second Edition'. This estimates the total cost (fiscal, economic and social) of crime. These costs have been disaggregated to identify the breakdown into fiscal, economic and social elements of the cost of crime and the breakdown of the fiscal costs to each agency using the split of expenditure from the same report. Further agency breakdowns are available in Table 23 of the original report (pg.58). Analysis carried out by the GMCA Research Team and assured by the Home Office."
CRIME,PROPERTY & VEHICLE CRIME,"Commercial burglary - average cost per incident (fiscal, economic and social values)",Per incident,Criminal Justice System,,3535.733966,14492.88906,615.4349224,"Figures derived from 'The Economic and Social Costs of Crime, Second Edition'. This estimates the total cost (fiscal, economic and social) of crime. These costs have been disaggregated to identify the breakdown into fiscal, economic and social elements of the cost of crime and the breakdown of the fiscal costs to each agency using the split of expenditure from the same report. Further agency breakdowns are available in Table 23 of the original report (pg.58). Analysis carried out by the GMCA Research Team and assured by the Home Office."
CRIME,PROPERTY & VEHICLE CRIME,Commercial burglary - fiscal cost to the police,Per incident,Police,,639.5696253,,,"Figures derived from 'The Economic and Social Costs of Crime, Second Edition'. This estimates the total cost (fiscal, economic and social) of crime. These costs have been disaggregated to identify the breakdown into fiscal, economic and social elements of the cost of crime and the breakdown of the fiscal costs to each agency using the split of expenditure from the same report. Further agency breakdowns are available in Table 23 of the original report (pg.58). Analysis carried out by the GMCA Research Team and assured by the Home Office."
CRIME,PROPERTY & VEHICLE CRIME,Commercial burglary - fiscal cost to the probation system,Per incident,Probation,,374.087894,,,"Figures derived from 'The Economic and Social Costs of Crime, Second Edition'. This estimates the total cost (fiscal, economic and social) of crime. These costs have been disaggregated to identify the breakdown into fiscal, economic and social elements of the cost of crime and the breakdown of the fiscal costs to each agency using the split of expenditure from the same report. Further agency breakdowns are available in Table 23 of the original report (pg.58). Analysis carried out by the GMCA Research Team and assured by the Home Office."
CRIME,PROPERTY & VEHICLE CRIME,Commercial burglary - fiscal cost to the courts/legal aid system,Per incident,Court,Legal aid,1749.765956,,,"Figures derived from 'The Economic and Social Costs of Crime, Second Edition'. This estimates the total cost (fiscal, economic and social) of crime. These costs have been disaggregated to identify the breakdown into fiscal, economic and social elements of the cost of crime and the breakdown of the fiscal costs to each agency using the split of expenditure from the same report. Further agency breakdowns are available in Table 23 of the original report (pg.58). Analysis carried out by the GMCA Research Team and assured by the Home Office."
